muni_id,use_code,use_desc,luc,desc,broad
332,0101,Single Family Residential,101,Single-family,Residential
67,0101,Single Family Residential with Commercial,101M,Mixed-use -- single-family,Residential
49,0101,MXD SNGL-FAM-RES,101M,Mixed-use -- single-family,Residential
11,0101,"Mulitple-Use, Primarily Residential",101M,Mixed-use -- single-family,Residential
279,0101,Single Family,101,Single-family,Residential
225,0101,Single Family Residential,101,Single-family,Residential
276,0101,"Mixed use, primary single-family",101M,Mixed-use -- single-family,Residential
170,0101,Single Family MDL-01,101,Single-family,Residential
99,0101,Single Family,101,Single-family,Residential
283,0101,Single Family Residential,101,Single-family,Residential
275,0101,Mixed Use (Primarily Single Family Residential),101M,Mixed-use -- single-family,Residential
295,0101,One-Family Residential,101,Single-family,Residential
221,0101,Single Family Residential,101,Single-family,Residential
323,0101,IMPUTED - Mixed Use Single Family,101M,Mixed-use -- single-family,Residential
197,0101,Single Family M01,101,Single-family,Residential
293,0101,SINGLE FAM M01,101,Single-family,Residential
294,0101,Single Family Residential,101,Single-family,Residential
290,0101,SINGLE FAMILY M01,101,Single-family,Residential
220,0101,Conventional,101,Single-family,Residential
162,0101,Mixed use single family home,101M,Mixed-use -- single-family,Residential
16,0101,Single Fam MDL - 01,101,Single-family,Residential
141,0101,Single Family Residential,101,Single-family,Residential
2,0101,Single Family Residential,101,Single-family,Residential
339,0101,Single Fam,101,Single-family,Residential
160,0101,Single Family,101,Single-family,Residential
28,0101,Single Fam,101,Single-family,Residential
21,0101,Mixed Use - Single Family Residential,101M,Mixed-use -- single-family,Residential
280,0101,Mixed use - single family,101M,Mixed-use -- single-family,Residential
110,0101,MIXED USE SINGLE FAM,101M,Mixed-use -- single-family,Residential
20,0101,Single Fam MDL-01,101,Single-family,Residential
296,0101,Other,101,Single-family,Residential
241,0101,Single Fam MDL-01,101,Single-family,Residential
57,0101,Mixed Use (Primarily Residential),101M,Mixed-use -- single-family,Residential
134,0101,Mixed Use (Single-Family Res),101M,Mixed-use -- single-family,Residential
211,0101,Mixed Use Primarily Residential,101M,Mixed-use -- single-family,Residential
256,0101,Single Family Residential,101,Single-family,Residential
228,0101,Single Fam MDL-01,101,Single-family,Residential
1,0101,"Mixed use, single family plus commerical",101M,Mixed-use -- single-family,Residential
235,0101,Mixed Use Residential - Single Family Home,101M,Mixed-use -- single-family,Residential
88,0101,SINGLE FAM,101,Single-family,Residential
247,0101,Single Fam,101,Single-family,Residential
206,0101,Single Fam  MDL-01,101,Single-family,Residential
15,0101,MIXED USE SINGLE FAMILY,101M,Mixed-use -- single-family,Residential
107,0101,SINGLE FAMILY,101,Single-family,Residential
17,0101,Single Fam,101,Single-family,Residential
145,0101,Single Family Residential,101,Single-family,Residential
64,0101,MIXED PRIMARY RES,101M,Mixed-use -- single-family,Residential
115,0101,Single Family Residential,101,Single-family,Residential
182,0101,SINGLE FAM MDL R,101,Single-family,Residential
153,0101,Mixed use - primary 101,101M,Mixed-use -- single-family,Residential
250,0101,Single Fam MDL-01,101,Single-family,Residential
18,0101,Mixed Use Mostly Residential,101M,Mixed-use -- single-family,Residential
89,0101,Mixed Use (Primarily Residential),101M,Mixed-use -- single-family,Residential
234,0101,Mixed Use (Primarily SFR),101M,Mixed-use -- single-family,Residential
117,0101,"SINGLE FAMILY MULTI USE

",101M,Mixed-use -- single-family,Residential
333,0101,Single Family Residential,101,Single-family,Residential
111,0101,"Mixed use, primarily single family",101M,Mixed-use -- single-family,Residential
72,0101,Mixed Use (Primarily Single Family Residential),101M,Mixed-use -- single-family,Residential
176,0101,IMPUTED - Single Family Residential,101,Single-family,Residential
257,0101,Single Family,101,Single-family,Residential
135,0101,Unknown,101,Single-family,Residential
80,0101,Single Family Residential,101,Single-family,Residential
146,0101,Single Family House,101,Single-family,Residential
186,0101,SINGLE FAMILY MIXED USE,101M,Mixed-use -- single-family,Residential
169,0102,Condo,102,Condominium,Residential
39,0102,Condo,102,Condominium,Residential
73,0102,Condo,102,Condominium,Residential
49,0102,MXD CONDOMINIUM,102M,Mixed-use -- condo,Residential
221,0102,Residential Condominium,102,Condominium,Residential
57,0102,"Mixed Use-Condo/Store

Mixed Use-Condo/Store",102M,Mixed-use -- condo,Residential
206,0102,Condo,102,Condominium,Residential
107,0102,CONDO MDL-05,102,Condominium,Residential
169,0103,Mobile Hom,103,Mobile home,Residential
56,0103,Mobile Home,103,Mobile home,Residential
84,0103,Mobile Home,103,Mobile home,Residential
282,0103,Unknown,103,Mobile home,Residential
279,0103,IMPUTED - Mobile Home,103,Mobile home,Residential
294,0103,Mobile Home (includes mobile home park land),103,Mobile home,Residential
290,0103,MOBILE HOME,103,Mobile home,Residential
21,0103,Mixed Use - Mobile Home (includes mobile home park land),103M,Mixed-use -- mobile home,Residential
280,0103,Mixed use - mobile home,103M,Mixed-use -- mobile home,Residential
235,0103,Mixed Use Residential - Mobile Home,103M,Mixed-use -- mobile home,Residential
88,0103,MOBILE HM,103,Mobile home,Residential
206,0103,Mobile Hom,103,Mobile home,Residential
64,0103,MIXED PRIMARY RES,103M,Mixed-use -- mobile home,Residential
182,0103,"MOBILE HOME - MIXED USE

MOBILE HOME - MIXED USE

MOBILE HOME - MIXED USE",103M,Mixed-use -- mobile home,Residential
169,0104,Two Family,104,Two-family,Residential
8,0104,Two Fam,104,Two-family,Residential
56,0104,TWO FAM R,104,Two-family,Residential
32,0104,Two Family,104,Two-family,Residential
39,0104,Two Family,104,Two-family,Residential
73,0104,Two Family MDL-01,104,Two-family,Residential
79,0104,2 Family,104,Two-family,Residential
87,0104,Use code not known or nor provided.,104,Two-family,Residential
120,0104,Two-Family Residential,104,Two-family,Residential
103,0104,Mixed-Use Multi Family,104M,Mixed-use -- two-family,Residential
140,0104,Two-Family Residential,104,Two-family,Residential
122,0104,"two family mixed use

two family mixed use

two family mixed use",104M,Mixed-use -- two-family,Residential
167,0104,TWO FAMILY,104,Two-family,Residential
173,0104,Mixed Use (Primarily Two-Family Residential),104M,Mixed-use -- two-family,Residential
227,0104,Two-Family Residential,104,Two-family,Residential
351,0104,TWO FAMILY MDL,104,Two-family,Residential
208,0104,Two Family,104,Two-family,Residential
238,0104,Two-Family Residential,104,Two-family,Residential
252,0104,Multiple use - two family,104M,Mixed-use -- two-family,Residential
306,0104,Mixed-Use Multi Family,104M,Mixed-use -- two-family,Residential
307,0104,Two Family,104,Two-family,Residential
82,0104,Two-Family Residential,104,Two-family,Residential
310,0104,Mixed Use (Primarily Residential),104M,Mixed-use -- two-family,Residential
347,0104,Two-Family Residential,104,Two-family,Residential
350,0104,Two-Family Residential,104,Two-family,Residential
67,0104,Two-Family with Commercial,104,Two-family,Residential
49,0104,MXD TWO-FAM-RES,104M,Mixed-use -- two-family,Residential
279,0104,Two-Family,104,Two-family,Residential
276,0104,"Mixed use, primary two family",104M,Mixed-use -- two-family,Residential
170,0104,Two Family MDL-01,104,Two-family,Residential
283,0104,Two-Family Residential,104,Two-family,Residential
275,0104,Mixed Use (Primarily Two Family Residential),104M,Mixed-use -- two-family,Residential
295,0104,Two-Family Residential,104,Two-family,Residential
197,0104,2 Family Mix Mo1,104M,Mixed-use -- two-family,Residential
293,0104,TWO FAMILY M01,104,Two-family,Residential
294,0104,Two-Family Residential,104,Two-family,Residential
290,0104,TWO FAMILY M01,104,Two-family,Residential
220,0104,Mixed Use Res,104M,Mixed-use -- two-family,Residential
16,0104,Two Family MDL - 01,104,Two-family,Residential
141,0104,Two-Family Residential,104,Two-family,Residential
2,0104,Two-Family Residential,104,Two-family,Residential
160,0104,Two Family,104,Two-family,Residential
21,0104,Mixed Use - Two-Family Residential,104M,Mixed-use -- two-family,Residential
280,0104,Mixed use - 2-family,104M,Mixed-use -- two-family,Residential
296,0104,Other,104,Two-family,Residential
57,0104,Mixed Use-Two Family/Office,104M,Mixed-use -- two-family,Residential
134,0104,Mixed Use (2-Family Res),104M,Mixed-use -- two-family,Residential
211,0104,Mixed Use Primarily Residential,104M,Mixed-use -- two-family,Residential
1,0104,"Mixed use, two-family plus commercial",104M,Mixed-use -- two-family,Residential
235,0104,Mixed Use Residential - Two Family,104M,Mixed-use -- two-family,Residential
88,0104,TWO FAMILY MDL-01,104,Two-family,Residential
247,0104,"2 FAM MU

2 FAM MU",104M,Mixed-use -- two-family,Residential
206,0104,Two Family  MDL-01,104,Two-family,Residential
15,0104,MIXED USE 2 FAMILY,104M,Mixed-use -- two-family,Residential
107,0104,Mixed Use Predominently 2-Family,104M,Mixed-use -- two-family,Residential
17,0104,Two Family,104,Two-family,Residential
145,0104,Two-Family Residential,104,Two-family,Residential
64,0104,TWO FAM R,104,Two-family,Residential
115,0104,Two-Family Residential,104,Two-family,Residential
182,0104,TWO FAM R,104,Two-family,Residential
153,0104,Mixed use - primary 104,104M,Mixed-use -- two-family,Residential
250,0104,Mixed use two family,104M,Mixed-use -- two-family,Residential
89,0104,Mixed Use (Primarily Residential),104M,Mixed-use -- two-family,Residential
234,0104,Mixed Use (Primarily Multi Unit Residence),104M,Mixed-use -- two-family,Residential
321,0104,Two-Family Residential,104,Two-family,Residential
117,0104,"TWO FAMILY MULTI USE

",104,Two-family,Residential
111,0104,"Mixed use, primarily 2 family",104M,Mixed-use -- two-family,Residential
72,0104,Mixed Use (Primarily Two Family Residential),104M,Mixed-use -- two-family,Residential
176,0104,IMPUTED - Two-Family Residential,104,Two-family,Residential
257,0104,Two Family,104,Two-family,Residential
80,0104,TWO FAMILY,104,Two-family,Residential
186,0104,TWO FAMILY MIXED USE,104,Two-family,Residential
169,0105,THREE FAM,105,Three-family,Residential
8,0105,Three Fam,105,Three-family,Residential
56,0105,THREE FAM R,105,Three-family,Residential
73,0105,THREE FAM,105,Three-family,Residential
79,0105,3 Family,105,Three-family,Residential
87,0105,Use code not known or nor provided.,105,Three-family,Residential
103,0105,Mixed-Use Three-Family Residential,105M,Mixed-use -- three-family,Residential
140,0105,Three-Family Residential,105,Three-family,Residential
167,0105,THREE FAM,105,Three-family,Residential
173,0105,Mixed Use (Primarily Three-Family Residential),105M,Mixed-use -- three-family,Residential
227,0105,Three-Family Residential,105,Three-family,Residential
351,0105,THREE FAM MDL,105,Three-family,Residential
307,0105,3 Family,105,Three-family,Residential
82,0105,Three-Family Residential,105,Three-family,Residential
347,0105,Three-Family Residential,105,Three-family,Residential
49,0105,MXD THREE-FM-RES,105M,Mixed-use -- three-family,Residential
170,0105,Three Family,105,Three-family,Residential
283,0105,Three-Family Residential,105,Three-family,Residential
275,0105,Mixed Use (Primarily Three Family Residential),105M,Mixed-use -- three-family,Residential
295,0105,Three-Family Residential,105,Three-family,Residential
197,0105,3 Family Mix M01,105M,Mixed-use -- three-family,Residential
293,0105,THREE FAM M01,105,Three-family,Residential
294,0105,Three Family Residential,105,Three-family,Residential
220,0105,Three Family,105,Three-family,Residential
16,0105,Three Fam MDL - 01,105,Three-family,Residential
160,0105,Three Family,105,Three-family,Residential
21,0105,Mixed Use - Three-Family Residential,105M,Mixed-use -- three-family,Residential
20,0105,THREE FAM  MDL-94,105,Three-family,Residential
57,0105,Mixed Use-Three Family/Office,105M,Mixed-use -- three-family,Residential
134,0105,Mixed Use (3-Family Res),105,Three-family,Residential
211,0105,Mixed Use Primarily Residential,105M,Mixed-use -- three-family,Residential
88,0105,THREE FAM,105,Three-family,Residential
206,0105,THREE FAM  MDL-01,105,Three-family,Residential
107,0105,THREE FAMILY,105,Three-family,Residential
17,0105,THREE FAM,105,Three-family,Residential
145,0105,Three-Family Residential,105,Three-family,Residential
64,0105,THREE FAM R,105,Three-family,Residential
115,0105,Three-Family Residential,105,Three-family,Residential
182,0105,THREE FAM R,105,Three-family,Residential
153,0105,Mixed use - primary 105,105M,Mixed-use -- three-family,Residential
321,0105,Three-Family Residential,105,Three-family,Residential
72,0105,Mixed Use (Primarily Three Family Residential),105M,Mixed-use -- three-family,Residential
176,0105,IMPUTED - Three-Family Residential,105,Three-family,Residential
257,0105,Three Family,105,Three-family,Residential
80,0105,Three-Family Residential,105,Three-family,Residential
186,0105,THREE FAMILY MIXED USE,105M,Mixed-use -- three-family,Residential
169,0106,AC LND IMP,106,Accessory land with improvement,Residential
56,0106,RESIDNTL,106,Accessory land with improvement,Residential
84,0106,Accessory Land Improvement,106,Accessory land with improvement,Residential
119,0106,"Mixed Use Accessory Land w/Improvements-Garage, Shed, Etc.",106,Accessory land with improvement,Residential
140,0106,Accessory Land with Improvement,106,Accessory land with improvement,Residential
227,0106,MIXED USE: AC LND IMP,106,Accessory land with improvement,Residential
238,0106,IMPUTED - Accessory Land with Improvement,106,Accessory land with improvement,Residential
272,0106,Accessory Land with Improvement,106,Accessory land with improvement,Residential
315,0106,"Accessory land with improvement-garage, etc.",106,Accessory land with improvement,Residential
332,0106,Vacant w/OBs,106,Accessory land with improvement,Residential
49,0106,MXD RES-LAND-IMP,106,Accessory land with improvement,Residential
279,0106,"Accessory Land with Improvements - garage, etc.",106,Accessory land with improvement,Residential
225,0106,Ac Lnd Imp,106,Accessory land with improvement,Residential
293,0106,Acc Land Improvement,106,Accessory land with improvement,Residential
290,0106,AC LAND IMP,106,Accessory land with improvement,Residential
294,0106,Access Land w/ Improvements,106,Accessory land with improvement,Residential
21,0106,Mixed Use - Accessory Land with Improvement,106,Accessory land with improvement,Residential
241,0106,AC LND IMP,106,Accessory land with improvement,Residential
256,0106,IMPUTED - Accessory Land with Improvement,106,Accessory land with improvement,Residential
235,0106,Mixed Use Residential - Outbuilding,106,Accessory land with improvement,Residential
88,0106,AC LND IMP,106,Accessory land with improvement,Residential
206,0106,AC LND IMP,106,Accessory land with improvement,Residential
115,0106,IMPUTED - Accessory Land with Improvement,106,Accessory land with improvement,Residential
182,0106,AC LND IMP - MIXED USE,106,Accessory land with improvement,Residential
250,0106,Accessory Land with Improvement,106,Accessory land with improvement,Residential
234,0106,Mixed Use (Primarily Multi Unit Residence),013,Mixed-use -- residential with commercial,Residential
72,0106,Mixed Use (Primarily Accessory Land with Improvement),106,Accessory land with improvement,Residential
80,0106,AC LND IMP,106,Accessory land with improvement,Residential
182,0107,SINGLE FAM RETREAT,100,Unknown residential,Residential
250,0107,Mixed use agriculture,100,Unknown residential,Residential
119,0108,Res - 61B,100,Unknown residential,Residential
182,0108,Single Fam MDL-94,101,Single-family,Residential
169,0109,MULTI HSES,109,Multiple houses on parcel,Residential
56,0109,RESIDNTL,109,Multiple houses on parcel,Residential
120,0109,Multiple Houses on one parcel,109,Multiple houses on parcel,Residential
103,0109,Mixed-Use Multiple Houses on one parcel,109M,Mixed-use -- multiple houses,Residential
140,0109,Multiple Houses on one parcel,109,Multiple houses on parcel,Residential
292,0109,mixed use multiple houses on one parcel,109M,Mixed-use -- multiple houses,Residential
167,0109,MULTI HSES,109,Multiple houses on parcel,Residential
266,0109,IMPUTED - MIXED USE (PRIMARILY RESIDENTIAL),109M,Mixed-use -- multiple houses,Residential
204,0109,"Mixed use, primarily Multiple houses",109M,Mixed-use -- multiple houses,Residential
351,0109,MULTI HSES,109,Multiple houses on parcel,Residential
208,0109,Multi Hses,109,Multiple houses on parcel,Residential
252,0109,Multiple use - multiple houses,109,Multiple houses on parcel,Residential
272,0109,MULTI HSES,109,Multiple houses on parcel,Residential
82,0109,Multi Hses,109,Multiple houses on parcel,Residential
307,0109,Multi Hses,109,Multiple houses on parcel,Residential
310,0109,Multi-Houses,109,Multiple houses on parcel,Residential
315,0109,"Multiple Houses on one parcel (for example, a single and a two-family on one parcel)",109,Multiple houses on parcel,Residential
350,0109,Multi-Family residential,109,Multiple houses on parcel,Residential
67,0109,Multiple Houses on one parcel with Commercial,109,Multiple houses on parcel,Residential
49,0109,MXD MULTIPLE-RES,109M,Mixed-use -- multiple houses,Residential
279,0109,"Multiple House on one parcel (for example, a single and a two-family on one parcel",109,Multiple houses on parcel,Residential
283,0109,Multiple Houses on one parcel,109,Multiple houses on parcel,Residential
275,0109,Mixed use with multiple homes. ,109M,Mixed-use -- multiple houses,Residential
295,0109,Multiple Houses on one parcel,109,Multiple houses on parcel,Residential
221,0109,Multiple Houses on one parcel,109,Multiple houses on parcel,Residential
197,0109,Multiple Houses M01,109,Multiple houses on parcel,Residential
290,0109,MULTI HOUSES,109,Multiple houses on parcel,Residential
294,0109,Multi-family Residential (4 family),109,Multiple houses on parcel,Residential
220,0109,Bungalow,109,Multiple houses on parcel,Residential
162,0109,Mixed use multi houses,109M,Mixed-use -- multiple houses,Residential
16,0109,Multi Hses,109,Multiple houses on parcel,Residential
2,0109,Multiple Houses on one parcel,109,Multiple houses on parcel,Residential
28,0109,Multi Hses,109,Multiple houses on parcel,Residential
21,0109,Mixed Use - Multiple Houses on one parcel,109M,Mixed-use -- multiple houses,Residential
20,0109,MULTI HSES  MDL-01,109,Multiple houses on parcel,Residential
296,0109,Other,109,Multiple houses on parcel,Residential
241,0109,MULTI HSES,109,Multiple houses on parcel,Residential
134,0109,Mixed Use (Multiple Res Buildings),109M,Mixed-use -- multiple houses,Residential
228,0109,MULTI HSES,109,Multiple houses on parcel,Residential
235,0109,Mixed Use Residential - Multiple Houses,109M,Mixed-use -- multiple houses,Residential
88,0109,MULTI HSES,109,Multiple houses on parcel,Residential
247,0109,MULTI HSES,109,Multiple houses on parcel,Residential
206,0109,MULTI HSES,109,Multiple houses on parcel,Residential
17,0109,MULTI HSES,109,Multiple houses on parcel,Residential
115,0109,Multiple Houses on one parcel,109,Multiple houses on parcel,Residential
153,0109,Mixed use - primary 109,109M,Mixed-use -- multiple houses,Residential
182,0109,MULTI HSES MDL-01,109,Multiple houses on parcel,Residential
89,0109,Mixed Use (Primarily Residential),109M,Mixed-use -- multiple houses,Residential
234,0109,Mixed Use (Primarily Multi Unit Residence),109M,Mixed-use -- multiple houses,Residential
117,0109,"MULTI HOUSE MULTI USE

",109,Multiple houses on parcel,Residential
72,0109,Mixed Use (Primarily Multiple Houses on one parcel),109M,Mixed-use -- multiple houses,Residential
226,0109,Multiple Houses on one parcel,109,Multiple houses on parcel,Residential
257,0109,Multiple Houses,109,Multiple houses on parcel,Residential
80,0109,MULTI HSES,109,Multiple houses on parcel,Residential
146,0109,Multiple Houses on Lot,109,Multiple houses on parcel,Residential
186,0109,MULTIPLE HOUSES ON ONE PARCEL MIXED USE,109,Multiple houses on parcel,Residential
169,010C,TWO FAM M94,104,Two-family,Residential
57,010C,Single Fam  MDL-94,101,Single-family,Residential
73,010C,Two Family MDL-94,104,Two-family,Residential
122,010C,mixed usre primary residential model 94,100,Unknown residential,Residential
351,010C,MIXED USE PREDOMINANTLY SINGLE FAMILY,101M,Mixed-use -- single-family,Residential
307,010C,Other,100,Unknown residential,Residential
325,010C,SINGLE FAM  MDL-94,101,Single-family,Residential
225,010C,Single Family MDL,101,Single-family,Residential
283,010C,IMPUTED - Single Family,101,Single-family,Residential
197,010C,Single Family M94,101,Single-family,Residential
293,010C,SINGLE FAM M94,101,Single-family,Residential
2,010C,Two Family MDL,104,Two-family,Residential
160,010C,Other - Stores/Apt Com,100,Unknown residential,Residential
134,010C,Single Fam  MDL-94,101,Single-family,Residential
211,010C,MU RES M94,100,Unknown residential,Residential
1,010C,"Mixed use, single family plus commercial, commercial model",101M,Mixed-use -- single-family,Residential
206,010C,Single Fam  MDL-94,101,Single-family,Residential
107,010C,SINGLE FAM MDL-94,101,Single-family,Residential
17,010C,Single Fam  MDL-94,101,Single-family,Residential
89,010C,Mixed Use (Primarily Residential),100,Unknown residential,Residential
329,010C,Office Bldg,100,Unknown residential,Residential
1,010E,"Mixed use, two-family plus commercial, res model",104M,Mixed-use -- two-family,Residential
197,010F,3 Family MixM94,105,Three-family,Residential
1,010F,"Mixed use, two-family plus commercial, comm model",104M,Mixed-use -- two-family,Residential
1,010G,"Mixed use, three-family plus commercial, res model",105M,Mixed-use -- three-family,Residential
186,010H,TWO-FAMILY M94 WITH STORE/SHOP,104M,Mixed-use -- two-family,Residential
325,010I,SINGLE FAM  MDL-96,101,Single-family,Residential
57,010J,TWO FAMILY  MDL-94,104,Two-family,Residential
307,010J,Two Family M-94,104,Two-family,Residential
325,010J,TWO FAMILY  MDL-94,104,Two-family,Residential
293,010J,TWO FAMILY M94,104,Two-family,Residential
160,010J,Other - Stores/Apt Com,100,Unknown residential,Residential
296,010J,Other,100,Unknown residential,Residential
206,010J,Two Family  MDL-94,104,Two-family,Residential
107,010J,TWO FAMILY MDL-94,104,Two-family,Residential
329,010J,Stores/Apt Com,100,Unknown residential,Residential
197,010K,Multiple Houses M96,109,Multiple houses on parcel,Residential
57,010L,TWO FAMILY  MDL-96,104,Two-family,Residential
325,010L,TWO FAMILY  MDL-96,104,Two-family,Residential
1,010M,"Mixed use, single-family plus commercial, res type",101M,Mixed-use -- single-family,Residential
225,010R,Two Family MDL,104,Two-family,Residential
182,010R,SINGLE FAM RETREAT - MIXED USE,101,Single-family,Residential
329,010R,Colonial,100,Unknown residential,Residential
56,010V,SINGLE FAM MDL R,101,Single-family,Residential
17,010V,Mobile Hom,103,Mobile home,Residential
182,010V,SINGLE FAM MDL R,101,Single-family,Residential
117,010V,IMPUTED - Residential,100,Unknown residential,Residential
72,010V,Mixed Use (Primarily Single Family),101M,Mixed-use -- single-family,Residential
325,010Z,THREE FAM  MDL-94,105,Three-family,Residential
293,010Z,THREE FAM M94,105,Three-family,Residential
160,010Z,Other - Stores/Apt Com,100,Unknown residential,Residential
206,010Z,THREE FAM  MDL-94,105,Three-family,Residential
317,011,Mixed Use-day care & residential,100,Unknown residential,Residential
182,0110,APT 4-8 RES,111,Apartments with four to eight units,Residential
169,0111,APT 4-UNIT,111,Apartments with four to eight units,Residential
8,0111,4-8 Fam,111,Apartments with four to eight units,Residential
56,0111,4-8 FAM R,111,Apartments with four to eight units,Residential
32,0111,APT 4 TO 8,111,Apartments with four to eight units,Residential
73,0111,APT 4-UNIT,111,Apartments with four to eight units,Residential
79,0111,4 To 8 Unit,111,Apartments with four to eight units,Residential
87,0111,Use code not known or nor provided.,111,Apartments with four to eight units,Residential
103,0111,Mixed-Use Apartments with Four to Eight Units,111M,Mixed-use -- 4-8 apartments,Residential
292,0111,Apt. 4-unit M96,111,Apartments with four to eight units,Residential
167,0111,APT 4-UNIT  MDL-01,111,Apartments with four to eight units,Residential
351,0111,APT 4-UNIT MDL0,111,Apartments with four to eight units,Residential
238,0111,Apartments with Four to Eight Units,111,Apartments with four to eight units,Residential
252,0111,Multiple use - four to eight apartments,111M,Mixed-use -- 4-8 apartments,Residential
307,0111,Apts 4-Unit M-0,111,Apartments with four to eight units,Residential
310,0111,Four to Eight Units,111,Apartments with four to eight units,Residential
347,0111,Apartments with Four to Eight Units,111,Apartments with four to eight units,Residential
332,0111,Apartments with Four to Eight Units,111,Apartments with four to eight units,Residential
67,0111,Four to Eight Unit Apartment with Commercial,111M,Mixed-use -- 4-8 apartments,Residential
49,0111,MXD 4-8-UNIT-APT,111M,Mixed-use -- 4-8 apartments,Residential
11,0111,"Mulitple-Use, Primarily Residential",111M,Mixed-use -- 4-8 apartments,Residential
170,0111,Apartment 4-Unit,111,Apartments with four to eight units,Residential
283,0111,Apartments with Four to Eight Units,111,Apartments with four to eight units,Residential
275,0111,Mixed Use (Apartments with Four to Eight Units),111M,Mixed-use -- 4-8 apartments,Residential
295,0111,Apartments with Four to Eight Units,111,Apartments with four to eight units,Residential
197,0111,"Apartment, 4 - 8 Units M01",111,Apartments with four to eight units,Residential
293,0111,APT 4-8 UNIT M01,111,Apartments with four to eight units,Residential
294,0111,Apartments with Four to Eight Units,111,Apartments with four to eight units,Residential
220,0111,"Apartment, Old Style",111,Apartments with four to eight units,Residential
16,0111,Apt 4-Unit MDL - 01,111,Apartments with four to eight units,Residential
160,0111,Apartments with Four to Eight Units,111,Apartments with four to eight units,Residential
21,0111,Mixed Use - Apartments with Four to Eight Units,111M,Mixed-use -- 4-8 apartments,Residential
280,0111,Mixed use - 4 apartments,111M,Mixed-use -- 4-8 apartments,Residential
20,0111,APTS UP TO 4-UNIT  MDL-01,111,Apartments with four to eight units,Residential
296,0111,Other,,#N/A,Other/Unknown
57,0111,"Mixed Use (Primarily Residential, some Commercial)",111M,Mixed-use -- 4-8 apartments,Residential
134,0111,Mixed Use (4-8-Unit Res),111M,Mixed-use -- 4-8 apartments,Residential
1,0111,"Mixed-use, apartment 4-8 units, res type",111M,Mixed-use -- 4-8 apartments,Residential
88,0111,APT 4-8 MDL-03,111,Apartments with four to eight units,Residential
247,0111,APT 4-UNI,111,Apartments with four to eight units,Residential
206,0111,APT 4-UNIT,111,Apartments with four to eight units,Residential
15,0111,MIXED USE APT 4-8 UNITS,111M,Mixed-use -- 4-8 apartments,Residential
107,0111,APT 4 TO 8 UNITS,111,Apartments with four to eight units,Residential
145,0111,Apartments with Four to Eight Units,111,Apartments with four to eight units,Residential
64,0111,4-8 FAM R,111,Apartments with four to eight units,Residential
115,0111,Apartments with Four to Eight Units,111,Apartments with four to eight units,Residential
182,0111,4-8 FAM R,111,Apartments with four to eight units,Residential
153,0111,Mixed use - primary 111,111M,Mixed-use -- 4-8 apartments,Residential
89,0111,Mixed Use (Primarily Residential),111M,Mixed-use -- 4-8 apartments,Residential
111,0111,"Mixed use, primarily 4 to 8 unit apartment",111M,Mixed-use -- 4-8 apartments,Residential
176,0111,IMPUTED - Apartments with Four to Eight Units,111,Apartments with four to eight units,Residential
257,0111,Apt 4 Units,111,Apartments with four to eight units,Residential
80,0111,Apartments with Four to Eight Units,111,Apartments with four to eight units,Residential
186,0111,APARTMENTS WITH FOUR TO EIGHT UNITS MIXED USE,111M,Mixed-use -- 4-8 apartments,Residential
169,0112,APT OVER 8,112,Apartments over eight units,Residential
